Input sequence (ground truth),Input sequence (masked),Masked tokens,Number of masked tokens,Duplicate count
"Billy Elliot (Stephen Daldry, 2000, Engeland/Frankrijk). Ook in ons land succesrijk regiedebuut is een","Billy Elliot <extra_id_0> 2000, Engeland/Frankrijk). Ook in ons land succesrijk regiedebuut is een","['(Stephen Daldry,']",2,6
Het wordt tijd dat Wilders uitlegt hoe hij zijn strijd tegen de ondergang van Europa precies vorm wil geven,Het wordt tijd dat <extra_id_0> hij zijn strijd tegen de ondergang van Europa precies vorm wil geven,['Wilders uitlegt hoe'],3,6
 Deze zomer kruipen onze correspondenten in de rol van factchecker. Ze behandelen een groot misverstand over hun land. Vandaag:,Deze zomer kruipen onze correspondenten in de <extra_id_0> Ze behandelen een groot misverstand over hun land. Vandaag:,['rol van factchecker.'],3,6
"e. De ernstig verbrande patint Ralph Fiennes, over wie verpleegster Juliette Binoche zich ontfermt in een","e. De ernstig verbrande patint Ralph Fiennes, over <extra_id_0> Juliette Binoche zich ontfermt in een",['wie verpleegster'],2,6
een ambitieuze advocaat die onwetend zijn ziel verkocht aan een corrupt advocatenkantoor. Heerlijke rolbezetting,een ambitieuze advocaat die onwetend zijn ziel verkocht aan een corrupt <extra_id_0> rolbezetting,['advocatenkantoor. Heerlijke'],2,6
"' Studenten lenen steeds meer geld om rond te komen, zo werd onlangs bekend. Ook hebben ze meer moeite om die schuld af te lossen na hun studie. Hoe ziet het financile leven van studenten er anno 2004 uit?",' Studenten lenen steeds meer geld om rond te <extra_id_0> onlangs bekend. Ook hebben ze meer moeite om die schuld af te lossen na hun studie. Hoe ziet het <extra_id_1> studenten er anno 2004 uit?,"['komen, zo werd', 'financile leven van']",6,6
De zomer is er ook om even stil te staan. Dat doen we elke zaterdag met twee aan elkaar gewaagde gasten die elkaar niet kennen maar elkaar veel te zeggen hebben. Een avond lang tafelen zij met twee journalisten,De zomer is er ook om even stil te staan. Dat doen we elke zaterdag met twee aan elkaar gewaagde gasten die elkaar <extra_id_0> elkaar veel te zeggen hebben. Een avond lang <extra_id_1> twee journalisten,"['niet kennen maar', 'tafelen zij met']",6,6
"Allen die zich in Nederland bevinden, worden in gelijke gevallen gelijk behandeld. Discriminatie wegens godsdienst, levensovertuiging, politieke gezindheid, ras, geslacht of op welke grond dan ook, is niet toegestaan.","Allen die zich in Nederland bevinden, worden in gelijke gevallen gelijk behandeld. Discriminatie wegens godsdienst, levensovertuiging, politieke gezindheid, ras, geslacht of op welke <extra_id_0> niet toegestaan.","['grond dan ook, is']",4,6
"Ongemak en lichte huiver, daar bleef ik toch mee zitten na een weekje euthanasienieuws uit pioniersland Nederland.","Ongemak en lichte huiver, daar bleef <extra_id_0> zitten na een weekje euthanasienieuws uit pioniersland Nederland.",['ik toch mee'],3,6
forceren bij zichzelf een tijdelijke hartstilstand om een kijkje te kunnen nemen in het hiernamaals.,<extra_id_0> zichzelf een tijdelijke hartstilstand om een kijkje te kunnen nemen in het hiernamaals.,['forceren bij'],2,6
"Het belangrijkste is dat jij door die schoorsteen kunt. De kleur van een piet, dat is maar bijzaak.",Het belangrijkste is dat jij door die schoorsteen kunt. De kleur van <extra_id_0> is maar bijzaak.,"['een piet, dat']",3,6
een bedrag van bijna 21 miljard euro uitstaan aan staatsobligaties van Griekenland en andere probleemlanden.,een bedrag van bijna 21 miljard <extra_id_0> aan staatsobligaties van Griekenland en andere probleemlanden.,['euro uitstaan'],2,6
"The Shining (Stanley Kubrick, 1980, VS). Perfectionistische griezelfilm van grootmeester Kubrick holt het genre danig uit. Roman van Stephen King is slechts aanleiding voor spel met de locatie (een verlaten superluxueus hotel) en de personages (een",The Shining <extra_id_0> Perfectionistische griezelfilm van grootmeester Kubrick holt het genre danig uit. Roman van Stephen King is slechts aanleiding voor spel met de locatie (een verlaten superluxueus hotel) en de personages (een,"['(Stanley Kubrick, 1980, VS).']",5,6
"een spectaculair, sardonisch spel met de paradoxen van Amerikaans militair heldendom. Fascistische beeldtaal doorspekt",<extra_id_0> sardonisch spel met de paradoxen van Amerikaans militair heldendom. Fascistische beeldtaal doorspekt,"['een spectaculair,']",2,6
verplichten een alcoholslot in de auto te laten monteren: een startonderbreker met een blaaspijpje.,verplichten een <extra_id_0> de auto te laten monteren: een startonderbreker met een blaaspijpje.,['alcoholslot in'],2,6
"The Negotiator (F. Gary Gray, 1998, VS). Samuel L. Jackson is heerlijk als onderhandelaar in gijzelingszaken","The Negotiator (F. Gary Gray, 1998, VS). Samuel <extra_id_0> is heerlijk als onderhandelaar in gijzelingszaken",['L. Jackson'],2,6
"87 zeer jonge kinderen te hebben misbruikt op de crches waar hij werkte, bij hem thuis of op oppasadressen.","87 zeer jonge kinderen te hebben misbruikt <extra_id_0> waar hij werkte, bij hem thuis of op oppasadressen.",['op de crches'],3,6
martlap was destijds al gedateerd. Studentenhuwelijk van Ryan O'Neal en Ali MacGraw krijgt te kampen met leukemie.,martlap was <extra_id_0> Studentenhuwelijk van Ryan O'Neal en Ali MacGraw krijgt te kampen met leukemie.,['destijds al gedateerd.'],3,6
"Vertelt de ware geschiedenis van Brandon Teena, een meisje dat als jongen door het leven ging en toen dat uitkwam door zijn twee beste vrienden werd vermoord. Debuterend regisseuse Kimberly Peirce maakte er een verdrietige liefdesgeschiedenis van, een Romy en Julia, die gedragen wordt door het uitmuntende spel van Hilary Swank als Brandon en Chlo Sevigny als zijn vriendin Lana, die beiden voor een Oscar werden genomineerd.","Vertelt de ware geschiedenis van Brandon Teena, een <extra_id_0> jongen door het leven ging en toen dat uitkwam door zijn twee beste vrienden werd vermoord. Debuterend regisseuse Kimberly <extra_id_1> verdrietige liefdesgeschiedenis van, een Romy en Julia, die gedragen wordt door het uitmuntende spel van Hilary Swank als Brandon en Chlo Sevigny als zijn vriendin Lana, die beiden voor een <extra_id_2>","['meisje dat als', 'Peirce maakte er een', 'Oscar werden genomineerd.']",10,6
". Primal Fear (Gregory Hoblit, 1996, VS). Richard Gere als topadvocaat die schijnbaar hopeloze moordzaak aanneemt in rechtbankthriller die",". Primal Fear (Gregory Hoblit, 1996, <extra_id_0> als topadvocaat die schijnbaar hopeloze moordzaak aanneemt in rechtbankthriller die",['VS). Richard Gere'],3,6
"In deze maandelijkse rubriek beschouwt Martijn Kleppe, onderzoeker aan de Erasmus Universiteit Rotterdam en gespecialiseerd in persfotografie, bepaalde foto-onderwerpen. Vandaag: de","In deze maandelijkse rubriek beschouwt Martijn <extra_id_0> de Erasmus Universiteit Rotterdam en gespecialiseerd in persfotografie, bepaalde foto-onderwerpen. Vandaag: de","['Kleppe, onderzoeker aan']",3,6
"Face/Off (John Woo, 1997, VS). Derde Hollywoodfilm van Woo, de Hongkongse meester die zijn hyperbolische actiefilms laat lijken op sentimentele musicals.","Face/Off (John Woo, 1997, VS). Derde Hollywoodfilm van Woo, de Hongkongse meester die zijn hyperbolische actiefilms laat lijken <extra_id_0>",['op sentimentele musicals.'],3,6
"s, onderdak vindt bij de Amish, een religieuze en volstrekt pacifistische sekte die iedere vorm van technologie van de hand wijst.","s, onderdak vindt bij de Amish, een religieuze <extra_id_0> sekte die iedere vorm van technologie van de hand wijst.",['en volstrekt pacifistische'],3,6
Arjen van Veelen bekijkt elke vrijdag waar we ons deze week over opwonden op sociale media. Wat zegt dat over,<extra_id_0> bekijkt elke vrijdag waar we ons deze week over opwonden op sociale media. Wat zegt dat over,['Arjen van Veelen'],3,6
een boze film die nu eens grof en dan weer subtiel als komedie poseert en zonder mildheid maar met veel sentiment,een boze film die nu eens grof <extra_id_0> subtiel als komedie poseert en zonder mildheid maar met veel sentiment,['en dan weer'],3,6
"vluchtelinge Grace opnemen in ruil voor klusjes. Naarmate de klusjes weerzinwekkender worden, krijgt Grace meer en meer de trekken van een heilige.","vluchtelinge Grace opnemen in ruil voor <extra_id_0> klusjes weerzinwekkender worden, krijgt Grace meer en meer de trekken van een heilige.",['klusjes. Naarmate de'],3,6
brave kinderfilm naar de allegorische novelle van Godfried Bomans. Met echte acteurs in verbluffende kostuums,<extra_id_0> naar de allegorische novelle van Godfried Bomans. Met echte acteurs in verbluffende kostuums,['brave kinderfilm'],2,6
nderzoek van het Internationaal Instituut voor Sociale Geschiedenis en hoogleraar aan de Universiteit,nderzoek <extra_id_0> Internationaal Instituut voor Sociale Geschiedenis en hoogleraar aan de Universiteit,['van het'],2,6
"k krijgen schadevergoedingen tot 25.000 euro. Alleen in uitzonderlijke gevallen wordt meer betaald, tot 100.000 euro.",k krijgen schadevergoedingen tot 25.000 euro. Alleen in uitzonderlijke gevallen wordt meer <extra_id_0> 100.000 euro.,"['betaald, tot']",2,6
". Terminal Velocity (Deran Sarafian, 1994, VS). Charlie Sheen speelt een bijna zichzelf parodirende rol als waaghalzerige parachutespringer in routineuze actiefilm. Nastassja Kinski",". Terminal Velocity (Deran Sarafian, 1994, VS). Charlie Sheen speelt een bijna zichzelf parodirende rol als waaghalzerige parachutespringer in routineuze <extra_id_0>",['actiefilm. Nastassja Kinski'],3,6
er Deze rubriek belicht elke dinsdag kwesties uit het bedrijfsleven waarover de rechter zich onlangs uitsprak. Vandaag:,er Deze rubriek belicht elke dinsdag kwesties uit het bedrijfsleven waarover de rechter zich <extra_id_0>,['onlangs uitsprak. Vandaag:'],3,6
in the Age of the Pyramids t/m 9 jan en Portraits by Ingres t/m 2 jan in het Metropolitan Museum 00-12125357710,in the Age of the Pyramids t/m 9 jan en Portraits by Ingres t/m 2 jan <extra_id_0> Museum 00-12125357710,['in het Metropolitan'],3,6
erst het licht op oranje voordat het groen wordt? De kinderen in rijen opstellen voordat ze ergens naar toe lopen?,erst het licht op oranje <extra_id_0> wordt? De kinderen in rijen opstellen voordat ze ergens naar toe lopen?,['voordat het groen'],3,6
Jacqueline Kennedy: The White House Years in het Costume Institute van het Metropolitan Museum of Art t/m 29 juli 00-12125357710;,Jacqueline Kennedy: The White House Years in het Costume Institute van het Metropolitan Museum <extra_id_0> 29 juli 00-12125357710;,['of Art t/m'],3,6
superheldin. Planeet blijkt overspoeld door familieleden van het haar bekende buitenaardse monster.,superheldin. Planeet blijkt overspoeld door <extra_id_0> het haar bekende buitenaardse monster.,['familieleden van'],2,6
"). Biografisch drama over miskende Franse beeldhouwster, leerlinge, model, rivale en bovenal minnares van Auguste Rodin.","). Biografisch <extra_id_0> miskende Franse beeldhouwster, leerlinge, model, rivale en bovenal minnares van Auguste Rodin.",['drama over'],2,6
"Voorbeeldige, geautoriseerde documentaire biografie van Nederlands meest stabiele rockgroep Golden Earring. Regisseur en clipmaker Rogier van der Ploeg schildert een portret door interviews, archiefmateriaal en ontmoetingen met ex-leden en andere getuigen van een band die gewoon zijn werk doet, al vijfendertig jaar.","Voorbeeldige, geautoriseerde documentaire <extra_id_0> meest stabiele rockgroep Golden Earring. Regisseur en clipmaker Rogier van der Ploeg schildert een portret door interviews, archiefmateriaal en ontmoetingen met ex-leden en andere getuigen van <extra_id_1> gewoon zijn werk doet, al vijfendertig jaar.","['biografie van Nederlands', 'een band die']",6,6
"s. Net als in Kaos baseerden Paolo en Vittorio Taviani zich op personages uit de Siciliaanse novellen van Pirandello voor dit tweeluik over de onontkoombaarheid van een gewelddadige dood. Kunst en wetenschap bieden troost, in meesterlijk vormgegeven en intensief geobserveerde details. Amsterdam: Desmet.",s. Net als in Kaos baseerden Paolo en Vittorio Taviani zich op personages uit de Siciliaanse novellen van Pirandello voor dit tweeluik <extra_id_0> van een gewelddadige dood. Kunst en wetenschap <extra_id_1> meesterlijk vormgegeven en intensief geobserveerde details. Amsterdam: Desmet.,"['over de onontkoombaarheid', 'bieden troost, in']",6,6
"espiegelende, spannende thriller waarin rechercheur Harrison Ford, op de vlucht voor corrupte collega","espiegelende, spannende thriller <extra_id_0> Harrison Ford, op de vlucht voor corrupte collega",['waarin rechercheur'],2,6
". Virtuosity (Brett Leonard, 1995, VS). Schreeuwerige, op papier interessante thriller speelt in de nabije,","<extra_id_0> (Brett Leonard, 1995, VS). Schreeuwerige, op papier interessante thriller speelt in de nabije,",['. Virtuosity'],2,6
"Hoogtepunten van de dag. Hoogtepunten, samenvattingen, commentaren en interviews rond de wedstrijden van van","Hoogtepunten van <extra_id_0> Hoogtepunten, samenvattingen, commentaren en interviews rond de wedstrijden van van",['de dag.'],2,6
"/m 3 juni Horst: Portraits, foto's van Horst P. Horst in de National Portrait Gallery 00-442073060055;","/m 3 juni Horst: Portraits, foto's <extra_id_0> P. Horst in de National Portrait Gallery 00-442073060055;",['van Horst'],2,6
"overtreden, de belangen van clinten ernstig verwaarloosd en zich aan het wettelijk toezicht onttrokken","overtreden, de belangen van <extra_id_0> verwaarloosd en zich aan het wettelijk toezicht onttrokken",['clinten ernstig'],2,6
"Ghostbusters (Ivan Reitman, 1984, VS). Uitzinnige komedie over de spokenbestrijdingsdienst van drie ontslagen parapsychologen in een door demonen beheerst New York. Met olijke speciale effecten",Ghostbusters (Ivan <extra_id_0> komedie over de spokenbestrijdingsdienst van drie ontslagen parapsychologen in een door demonen beheerst New York. Met olijke speciale effecten,"['Reitman, 1984, VS). Uitzinnige']",4,6
lonkende thriller. Eveneens debuterende Kathleen Turner speelt een gefortuneerde dame die vurig overspel pleegt met de niet al te snuggere advocaat William Hurt. Zij haalt hem over haar echtgenoot te vermoorden in,lonkende thriller. Eveneens debuterende Kathleen Turner speelt een gefortuneerde dame die vurig overspel <extra_id_0> al te snuggere advocaat William Hurt. Zij haalt hem over haar echtgenoot te vermoorden in,['pleegt met de niet'],5,6
"e kunstenaar en amateur-wetenschapper Shiba Kkan (1747-1818) zich als koopman vermommen om stiekem de zwaarbewaakte Nederlandse enclave in de stad Nagasaki binnen te dringen. De Nederlanders bevonden zich sinds 1639 als enige westerlingen in Japan, op het kunstmatig","e kunstenaar en amateur-wetenschapper Shiba Kkan (1747-1818) zich als koopman vermommen om stiekem de zwaarbewaakte Nederlandse enclave <extra_id_0> Nagasaki binnen te dringen. De Nederlanders bevonden <extra_id_1> als enige westerlingen in Japan, op het kunstmatig","['in de stad', 'zich sinds 1639']",6,6
"was al jaren een verstokte `hollandofiel'. Van alles wat uit Nederland in Japan terecht kwam, bewonderde hij vooral de schilderkunst en wetenschap.",was al jaren een verstokte `hollandofiel'. Van alles wat uit Nederland in <extra_id_0> bewonderde hij vooral de schilderkunst en wetenschap.,"['Japan terecht kwam,']",3,6
"april, Gemeentearchief Amsterdam, Amsteldijk 67. Ma t/m zo 11-19u; Jan Hendrik Weissenbruch 1824-1903 Voorbij de Haagse School t/m 21 mei in het Gemeentemuseum, Stadhouderslaan 41, Den Haag. Di t/m zo 11-17u;","<extra_id_0> 67. Ma t/m zo 11-19u; Jan Hendrik Weissenbruch 1824-1903 Voorbij de Haagse School t/m 21 mei in het Gemeentemuseum, Stadhouderslaan 41, Den Haag. Di t/m zo 11-17u;","['april, Gemeentearchief Amsterdam, Amsteldijk']",5,6
officier Denzel Washington raakt tijdens missie in een onderzeer in ernstig conflict met zijn praktisch ingestelde superieur Gene Hackman. Onwaarschijnlijk,officier Denzel Washington raakt tijdens missie in een <extra_id_0> conflict met zijn praktisch ingestelde superieur Gene Hackman. Onwaarschijnlijk,['onderzeer in ernstig'],3,6
"jarig jochie dat opgroeit in een rommelig Zweeds eenoudergezin en op zoek gaat naar zijn vader, een Griekse inktvis","jarig jochie dat <extra_id_0> rommelig Zweeds eenoudergezin en op zoek gaat naar zijn vader, een Griekse inktvis",['opgroeit in een'],3,6
orrespondent Gert van Langendonck probeert met een groep Syrische vluchtelingen Fort Europa binnen te komen,orrespondent Gert van Langendonck probeert met een groep Syrische vluchtelingen Fort <extra_id_0> te komen,['Europa binnen'],2,6
